"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kalista","Support",1,"0.1%","0.7%","1.5%","0%","100%",2,4,12,3.5,"93.3%","30.8%","100%",1036,420,6,1.5,"4.6%",272,"13.0%","13.6%",2.76,1.03
"Seraphine","Support",1,"0.1%","0.2%","0.4%","100%","100%",2,1,12,14,"82.4%","20.0%","100%",932,55,-10,0.8,"2.7%",216,"11.3%","11.4%",1.68,0.47
"LeBlanc","Top",4,"0.4%","48.3%","63.0%","25%","25%",19,14,12,2.2,"59.6%","20.9%","25%",786,506,23.5,8.6,"28.6%",817,"34.2%","27.4%",0.36,0.26
"Vayne","ADC",6,"0.6%","0.6%","1.2%","33%","100%",28,17,25,3.1,"73.6%","21.8%","17%",732,404,-3,9.9,"36.6%",465,"24.2%","28.1%",0.45,0.32
"Nidalee","Jungle",7,"0.7%","1.8%","2.5%","71%","71%",30,21,57,4.1,"71.3%","27.6%","14%",592,286,0,6.8,"19.8%",594,"23.2%","20.9%",0.71,0.56
"Irelia","Middle",1,"0.1%","0.4%","0.9%","0%","100%",7,6,6,2.2,"65.0%","28.6%","100%",568,148,16,8.8,"27.7%",549,"21.6%","25.3%",0.47,0.22
"Olaf","Top",6,"0.6%","0.4%","1.1%","83%","83%",20,10,31,5.1,"56.7%","18.9%","0%",471,238,8.8,8.6,"27.2%",524,"22.6%","22.5%",0.43,0.21
"Ryze","Middle",15,"1.5%","0.7%","2.4%","40%","73%",29,42,81,2.6,"70.1%","18.3%","7%",470,396,7,8.9,"25.9%",541,"27.4%","23.8%",0.4,0.21
"Zeri","Middle",1,"0.1%","23.3%","48.0%","0%","100%",2,0,2,4,"100.0%","0.0%","0%",438,199,11,11.7,"40.4%",796,"48.0%","31.4%",0.67,0.6
"Ziggs","Middle",6,"0.6%","4.8%","7.2%","83%","33%",26,7,46,10.3,"75.8%","11.3%","17%",431,279,1.8,8.4,"25.6%",930,"34.5%","27.1%",0.49,0.14
"Zac","Support",1,"0.1%","0.0%","0.2%","0%","100%",2,3,2,1.3,"44.4%","30.0%","0%",417,81,0,1.2,"2.3%",162,"8.7%","9.9%",1.44,0.33
"Neeko","Jungle",5,"0.5%","44.8%","60.3%","60%","40%",13,12,43,4.7,"73.7%","23.1%","20%",415,565,15.8,7,"16.5%",453,"19.0%","19.2%",0.95,0.53
"Kennen","Top",81,"8.1%","12.3%","20.3%","51%","49%",240,281,372,2.2,"55.7%","26.6%","6%",409,300,14.3,8.2,"24.4%",618,"29.1%","22.8%",0.36,0.18
"Twitch","ADC",2,"0.2%","0.2%","0.4%","50%","100%",11,5,10,4.2,"70.0%","25.0%","50%",386,288,5,10.2,"29.8%",810,"34.8%","28.2%",0.4,0.68
"Zac","Jungle",1,"0.1%","0.0%","0.2%","100%","100%",5,1,15,20,"80.0%","20.0%","100%",376,213,-8,5.2,"11.4%",473,"15.6%","18.8%",0.32,0.32
"Rumble","Top",64,"6.4%","16.9%","23.5%","52%","34%",214,190,397,3.2,"65.4%","21.7%","13%",329,250,10.3,7.7,"22.5%",714,"31.1%","21.4%",0.43,0.1
"Yone","Top",4,"0.4%","9.4%","15.3%","50%","100%",10,19,14,1.3,"39.3%","25.0%","25%",326,316,9.8,8.7,"26.8%",547,"24.2%","24.1%",0.41,0.19
"Ryze","Top",2,"0.2%","0.7%","2.4%","100%","100%",6,0,13,19,"65.5%","0.0%","0%",295,261,16.5,9.7,"29.5%",696,"33.2%","24.7%",0.6,0.2
"Graves","Middle",3,"0.3%","0.2%","1.2%","67%","100%",11,9,16,3,"56.3%","31.0%","67%",264,-19,-8.7,8.4,"24.1%",489,"22.3%","21.3%",0.46,0.2
"Singed","Support",1,"0.1%","0.0%","0.1%","0%","100%",0,3,1,0.3,"25.0%","23.1%","0%",261,-158,4,1.1,"2.0%",43,"3.0%","7.8%",2.19,0.29
"Kindred","Jungle",33,"3.3%","10.8%","14.0%","52%","67%",128,80,182,3.9,"72.8%","20.7%","15%",260,286,6.8,7,"22.6%",511,"22.6%","22.3%",0.39,0.55
"Lillia","Jungle",10,"1.0%","0.7%","1.7%","60%","80%",36,18,66,5.7,"76.7%","13.0%","20%",260,230,7.2,7,"20.4%",586,"23.6%","21.3%",0.31,0.35
"Ashe","Support",17,"1.7%","7.8%","15.3%","35%","47%",8,46,126,2.9,"77.0%","19.2%","24%",230,-65,-7.9,1,"4.2%",357,"17.3%","10.5%",2.39,0.6
"Caitlyn","ADC",11,"1.1%","7.2%","8.3%","55%","18%",34,15,51,5.7,"68.0%","12.1%","9%",229,165,8.3,9.7,"30.9%",535,"24.0%","27.0%",0.43,0.43
"Elise","Jungle",31,"3.1%","9.8%","12.8%","61%","52%",62,82,179,2.9,"69.5%","23.0%","32%",218,-67,-2.3,5.3,"16.4%",417,"19.5%","17.9%",0.74,0.5
"Jarvan IV","Jungle",8,"0.8%","0.8%","2.0%","50%","63%",20,28,79,3.5,"90.0%","25.7%","25%",218,92,2.4,4.9,"15.0%",333,"14.3%","17.4%",0.36,0.4
"Morgana","Support",2,"0.2%","0.0%","0.2%","0%","100%",0,4,4,1,"80.0%","13.8%","0%",217,-194,-10,0.4,"1.5%",176,"11.7%","8.2%",1.75,0.31
"Quinn","Top",8,"0.8%","0.6%","1.4%","75%","100%",35,19,43,4.1,"70.3%","18.6%","13%",217,-183,6.4,9.7,"28.9%",818,"34.9%","27.0%",0.43,0.18
"Graves","Jungle",7,"0.7%","0.2%","1.2%","29%","100%",28,21,30,2.8,"79.5%","18.6%","14%",213,225,2.5,7.1,"23.0%",412,"19.9%","24.4%",0.31,0.52
"Sona","Support",3,"0.3%","0.0%","0.3%","67%","100%",3,7,36,5.6,"86.7%","22.6%","0%",196,102,4,0.7,"2.1%",244,"11.0%","10.5%",1.67,0.5
"Zilean","Support",2,"0.2%","0.2%","0.7%","0%","100%",1,3,7,2.7,"100.0%","13.6%","50%",196,151,0,1.2,"2.0%",60,"4.6%","8.8%",1.96,0.53
"Camille","Top",10,"1.0%","1.0%","2.0%","50%","90%",38,27,46,3.1,"53.8%","21.3%","10%",194,20,6,7.7,"22.4%",458,"21.5%","23.6%",0.28,0.2
"Soraka","Support",7,"0.7%","0.1%","0.8%","71%","100%",2,13,87,6.8,"79.5%","20.6%","14%",189,8,-6.7,0.7,"2.1%",155,"5.9%","9.7%",1.54,0.4
"Renekton","Top",322,"32.1%","25.7%","57.9%","48%","25%",717,913,1349,2.3,"51.9%","22.3%","11%",180,90,5,8.6,"25.6%",459,"22.0%","22.5%",0.37,0.22
"Heimerdinger","Support",28,"2.8%","3.5%","6.3%","46%","43%",19,80,172,2.4,"62.2%","21.7%","7%",165,-28,-7.3,0.9,"4.0%",350,"15.6%","10.3%",1.56,0.52
"Lee Sin","Jungle",105,"10.5%","16.3%","26.8%","53%","60%",316,275,692,3.7,"74.8%","22.1%","21%",164,50,1.6,5.7,"16.1%",315,"14.7%","18.9%",0.61,0.33
"Taric","Support",3,"0.3%","0.1%","0.4%","100%","0%",2,2,23,12.5,"64.1%","14.3%","67%",160,90,0,1.6,"4.0%",98,"4.4%","10.3%",1.49,0.5
